row_id,label,baseline_label,baseline_recorded_answer,baseline_generated_answer,baseline_success,baseline_prob_max,baseline_prob_sum,injected_answer,injected_success,injected_prob_max,injected_prob_sum,prob_gain_pct,prob_gain_abs,intermediate_answer,final_answers_json,source_layer,target_layer,strength,improvement
54197,F2_partial,F2_partial,Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is,Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author,False,4.1443854570388794e-08,4.1443854570388794e-08,", and the author of the novel The Raven is, and the author of the novel The Raven is, and the author of the novel The Raven is, and",False,4.507601261138916e-07,4.507601261138916e-07,987.6404494382023,4.093162715435028e-07,Edgar Allan Poe,"[""David Poe, Jr.""]",10,6,0.3,False
54197,F2_partial,F2_partial,Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is,Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author,False,4.1443854570388794e-08,4.1443854570388794e-08,"'s father, Edgar Allan Poe, was a poet, writer, and editor. He was born in Boston, Massachusetts, on January 19, 1804",False,1.2479722499847412e-07,1.2479722499847412e-07,201.12359550561797,8.335337042808533e-08,Edgar Allan Poe,"[""David Poe, Jr.""]",10,6,0.5,False
54197,F2_partial,F2_partial,Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is,Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author,False,4.1443854570388794e-08,4.1443854570388794e-08,", and the author of the novel The Raven is a famous writer. The author of the novel The Raven is a famous writer. The author of the novel The",False,3.110617399215698e-07,3.110617399215698e-07,650.561797752809,2.6961788535118103e-07,Edgar Allan Poe,"[""David Poe, Jr.""]",10,8,0.3,False
54197,F2_partial,F2_partial,Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is,Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author,False,4.1443854570388794e-08,4.1443854570388794e-08,'s father of the author of the novel The Raven is's father of the author of the novel The Raven is's father of the author of the novel The Raven,False,9.825453162193298e-08,9.825453162193298e-08,137.07865168539325,5.681067705154419e-08,Edgar Allan Poe,"[""David Poe, Jr.""]",10,8,0.5,False
27302,F3_other,F3_other,"the Czech Republic. She is a writer of fiction and non-fiction. She has written several books, including the novel Carmilla, which is a gothic horror novel. The author has also written several short stories, including the short story “The Story of a Realistic Novel” and the short story “The Story of","the Czech Republic. She is a writer of fiction and non-fiction. She has written several books, including the novel Carmilla, which is a gothic horror",False,3.306195139884949e-08,3.306195139884949e-08,", and died in the city of, London. She was a writer of the Gothic genre, and her work is considered to be one of the most important of",False,1.7136335372924805e-07,1.7136335372924805e-07,418.3098591549296,1.3830140233039856e-07,Sheridan Le Fanu,"[""Republic of Ireland""]",10,6,0.3,False
27302,F3_other,F3_other,"the Czech Republic. She is a writer of fiction and non-fiction. She has written several books, including the novel Carmilla, which is a gothic horror novel. The author has also written several short stories, including the short story “The Story of a Realistic Novel” and the short story “The Story of","the Czech Republic. She is a writer of fiction and non-fiction. She has written several books, including the novel Carmilla, which is a gothic horror",False,3.306195139884949e-08,3.306195139884949e-08,"'s, and was a member of the literary circle of the period. She was a member of the literary circle of the period. She was a member of the",False,2.2584572434425354e-08,2.2584572434425354e-08,-31.690140845070424,-1.0477378964424133e-08,Sheridan Le Fanu,"[""Republic of Ireland""]",10,6,0.5,False
27302,F3_other,F3_other,"the Czech Republic. She is a writer of fiction and non-fiction. She has written several books, including the novel Carmilla, which is a gothic horror novel. The author has also written several short stories, including the short story “The Story of a Realistic Novel” and the short story “The Story of","the Czech Republic. She is a writer of fiction and non-fiction. She has written several books, including the novel Carmilla, which is a gothic horror",False,3.306195139884949e-08,3.306195139884949e-08,", and died in the city of, London. She was a prolific writer of short stories, and her work was published in the periodical The Cornhill Magazine",False,1.0291114449501038e-07,1.0291114449501038e-07,211.26760563380282,6.984919309616089e-08,Sheridan Le Fanu,"[""Republic of Ireland""]",10,8,0.3,False
27302,F3_other,F3_other,"the Czech Republic. She is a writer of fiction and non-fiction. She has written several books, including the novel Carmilla, which is a gothic horror novel. The author has also written several short stories, including the short story “The Story of a Realistic Novel” and the short story “The Story of","the Czech Republic. She is a writer of fiction and non-fiction. She has written several books, including the novel Carmilla, which is a gothic horror",False,3.306195139884949e-08,3.306195139884949e-08,"'s, and was a great admir of the works of the author of the novel Carmilla was born in the country's, and was a great admir of the",False,1.7811544239521027e-08,1.7811544239521027e-08,-46.12676056338028,-1.525040715932846e-08,Sheridan Le Fanu,"[""Republic of Ireland""]",10,8,0.5,False
2hop__33326_65517,F3_other,F3_other,"A. Irma B. Maria C. Harvey D. Jose
In 2017, what was the name of the hurricane that hit the territory which has been suggested as a new addition to the United States? A. Irma B. Maria C. Harvey D. Jose
In 2017, what was the name","A. Irma B. Maria C. Harvey D. Jose
In 2017, what was the name of the hurricane that hit the territory which has been",False,0.00019550323486328125,0.00019550323486328125,"?
The name of the hurricane that hit the territory which has been suggested as a new addition to the United States is Hurricane Irma. The hurricane was a Category",False,0.0002574920654296875,0.0002574920654296875,31.70731707317073,6.198883056640625e-05,Puerto Rico,"[""Hurricane Maria""]",10,6,0.3,False
2hop__33326_65517,F3_other,F3_other,"A. Irma B. Maria C. Harvey D. Jose
In 2017, what was the name of the hurricane that hit the territory which has been suggested as a new addition to the United States? A. Irma B. Maria C. Harvey D. Jose
In 2017, what was the name","A. Irma B. Maria C. Harvey D. Jose
In 2017, what was the name of the hurricane that hit the territory which has been",False,0.00019550323486328125,0.00019550323486328125,"’s territory?
The hurricane that hit Puerto Rico in 2017 was the first hurricane to hit the island since 2010. The storm was named Maria,",False,7.43865966796875e-05,7.43865966796875e-05,-61.951219512195124,-0.00012111663818359375,Puerto Rico,"[""Hurricane Maria""]",10,6,0.5,False
